36796;10;10;15;29;82
28727;8;8;8;8;20
36714;8;8;8;90;116
28711;6;6;6;25;26
26864;30;51;73;107;145
18757;26;38;38;66;66
28075;30;36;36;36;36
27508;30;35;35;42;42
36877;11;35;35;35;35
28092;30;34;34;34;120
6480;19;29;29;117;240
2123;24;24;24;24;30
28864;20;20;20;20;45
33369;19;19;19;19;19
38326;19;19;19;19;19
37678;18;18;18;18;18
33395;6;16;17;17;24
2088;14;14;14;14;32
11831;11;14;14;14;20
19760;12;12;12;13;17
33548;11;11;11;11;11
37692;10;10;10;10;10
36772;8;8;8;46;66
33399;7;7;7;7;22
6374;4;4;4;4;17
2353;4;4;4;4;24
26273;3;3;3;3;3
29252;30;59;73;73;78
37027;30;56;71;97;97
32898;30;53;53;85;108
37373;30;50;50;50;50
36632;30;41;46;46;46
37302;20;38;46;46;46
34530;23;37;37;83;162
5566;21;34;34;123;246
32932;26;32;40;43;86
37700;28;28;28;28;28
33777;25;25;25;25;25
28863;20;20;20;20;20
37693;19;19;19;19;19
27560;19;19;19;19;40
38621;19;19;19;19;19
29721;17;17;17;17;31
2347;17;17;17;17;17
27559;16;16;16;16;25
33653;16;16;16;16;16
33271;16;16;16;16;27
24924;15;15;15;15;15
24929;14;14;14;14;14
34532;14;14;14;14;14
38156;13;13;13;13;13
36922;12;12;12;32;32
2771;10;10;10;10;27
38533;10;10;10;10;10
37331;10;10;10;10;10
25287;9;9;9;9;9
20626;9;9;9;9;15
33721;9;9;9;9;35
35818;6;6;30;32;32
38044;6;6;6;6;6
2497;5;5;14;16;24
33694;5;5;5;5;5
18703;30;59;67;67;67
37395;30;59;80;80;80
36287;30;59;68;68;68
28136;30;59;60;60;146
28138;30;59;59;59;59
34556;30;59;74;132;221
29558;30;57;57;57;57
37069;30;51;57;121;121
37067;19;48;74;78;78
37065;19;48;74;75;75
28107;30;46;46;46;60
37165;30;45;55;55;55
37160;30;38;38;38;38
29552;26;26;26;26;119
23599;14;24;47;47;47
33775;22;22;22;22;22
36340;19;19;19;61;90
5525;18;18;18;18;18
38045;16;16;16;16;16
